id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
222	3	2	2	1	1	1	3	5	5	3	5	5	4	4	1	4	3	1	4	4	3	4	1	5	20	N	163	36	O	O	W	14	5	etv	T	S	N	8-18
223	4	1	2	2	1	1	4	5	4	3	4	4	5	2	2	4	4	3	4	5	2	3	4	5	51	M	187	44	O	O	W	3	2	6	T	H	N	37.5
224	2	1	3	2	1	2	3	4	3	3	5	1	3	4	1	4	4	4	4	5	3	4	3	2	33	N	160	37	O	O	W	11	1	15	T	H	N	40
225	2	1	2	1	1	1	2	4	5	3	4	3	4	4	4	5	4	4	4	2	3	2	4	5	21	M	178	44	O	O	M	13	6	3-5	T	H	S	0-16
226	2	1	2	1	1	1	3	5	4	4	5	3	5	4	4	5	5	4	5	4	4	4	4	5	30	M	186	44	O	O	L	6	3	et	T	S	S	vaiht
227	3	1	1	1	1	1	1	5	5	3	4	4	5	4	2	4	4	2	3	5	1	4	2	5	54	N	160	38	O	E	NA	80	3	2?	E	S	NA	NA
228	1	5	5	4	4	5	2	5	5	3	2	5	5	3	1	3	2	1	3	5	1	5	1	3	44	M	170	39	O	O	M	13	5	15	E	NA	NA	NA
229	3	2	2	1	1	2	2	4	4	5	5	2	4	4	2	4	4	1	3	4	3	4	1	4	20	N	180	39	O	O	W	14	3	6	E	NA	NA	NA
230	3	2	1	2	1	3	1	3	4	3	4	4	4	5	4	5	5	5	5	2	3	1	4	5	24	M	186	45	O	O	W	10	6	5	T	H	S	6
231	3	1	1	1	1	1	2	4	5	3	4	3	4	4	2	3	3	2	3	4	3	4	2	4	22	N	162	37	O	O	W	14	4	6	T	H	S	15
